id,title,link,pillar,topic,level,summary
OPS01-BP01,Evaluate external customer needs,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_priorities_ext_cust_needs.html,Operational Excellence,Organization priorities,High,"**Compliance Control (max 500 chars)**Engage business, development, and operations teams to align on customer needs and operational support. Focus on customer outcomes, ensuring operational practices support business goals. Avoid anti-patterns like neglecting customer support data or developing features without customer input. Benefits include customer retention. Risks of inaction are high; understand business needs, review customer priorities, and establish shared understanding across teams to deliver value. Related: OPS11-BP03 - Implement feedback loops."
OPS01-BP02,Evaluate internal customer needs,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_priorities_int_cust_needs.html,Operational Excellence,Organization priorities,High,"**Compliance Control (max 500 chars):**Engage business, development, and operations teams to determine focus areas for internal customer needs, ensuring a shared understanding of required operational support for business outcomes. Update priorities as needs change. Avoid unilateral decisions like changing IP allocations without consulting teams. Benefits include informed prioritization for business value. Risks of not establishing this practice are high. Related: OPS11-BP03 Implement feedback loops."
OPS01-BP03,Evaluate governance requirements,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_priorities_governance_reqs.html,Operational Excellence,Organization priorities,High,"**Compliance Control for Governance Requirements****Objective:** Incorporate governance requirements into workload design and operations, demonstrate conformance, and regularly review updates.**Outcomes:**- Governance requirements integrated into workload architecture and operations.- Proof of compliance with governance requirements.- Regular review and updates of governance requirements.**Anti-patterns:**- Ignoring mandated multi-factor authentication leading to root account compromise.- Choosing non-approved instance types causing launch failures.- Lack of disaster recovery plans resulting in extended outages.**Benefits:**- Aligns workload with organizational policies and industry standards.- High risk exposure if not established.**Implementation Steps:**1. Identify stakeholders and governance requirements.2. Prioritize and implement requirements.3. Use AWS Config and Service Control Policies for validation.4. Document and validate implementation.**Example:** AnyCompany Retail collaborates with stakeholders to develop and update governance requirements, prohibiting SSH access and mandating AWS Systems Manager for system access.**Effort:** Medium; may require workload rework.**Related Practices:** OPS01-BP04 Evaluate compliance requirements."
OPS01-BP04,Evaluate compliance requirements,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_priorities_compliance_reqs.html,Operational Excellence,Organization priorities,High,"**Compliance Control Summary (max 500 chars)**Ensure regulatory, industry, and internal compliance by integrating frameworks into architectural selection. Validate compliance via audits/reports, adhering to standards like PCI DSS, FedRAMP, and HIPAA. Address risks by encrypting sensitive data, educating staff, and automating audit processes with tools like AWS Audit Manager and AWS Security Hub. Failure to comply exposes high risk; successful implementation ensures aligned architectural choices and audit readiness."
OPS01-BP05,Evaluate threat landscape,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_priorities_eval_threat_landscape.html,Operational Excellence,Organization priorities,Medium,"**Compliance Control Summary (max 500 chars):**Regularly review and act on AWS Well-Architected and Trusted Advisor outputs. Maintain a current risk registry with impact assessments for competition, business risks, operational risks, and information security threats. Prioritize efforts based on risk impact. Use AWS Trusted Advisor for optimizations and latest security bulletins. Establish and update a threat model with mitigations and their priorities. Communicate actions and context. Failure to establish this best practice exposes medium risk.**Benefits:** Identify and prioritize threats, determine necessary resources. **Common Anti-Patterns:** Using outdated libraries, ignoring competitor advancements, neglecting compliance. **Related:** SEC01-BP07, AWS Compliance, Trusted Advisor, Security Bulletins."
OPS01-BP06,Evaluate tradeoffs while managing benefits and risks,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_priorities_eval_tradeoffs.html,Operational Excellence,Organization priorities,Medium,"**Compliance Control for Cloud Delivery Decision-Making Framework**To ensure compliance and effective decision-making in cloud delivery, establish a governance framework with a risk register, defined roles, and conflict resolution models. Prioritize decisions based on business goals, assess benefits vs. risks, and incorporate compliance. Use AWS resources for team education. Balance central control with decentralized authority, and automate compliance adherence. Implement medium-high effort for full alignment with business priorities and risk management."
OPS02-BP01,Resources have identified owners,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ops_model_def_resource_owners.html,Operational Excellence,Relationships and ownership,High,"**Compliance Control for Resource Ownership**Ensure resources have identified owners for change control, troubleshooting, and other functions. Assign ownership for workloads, accounts, infrastructure, platforms, and applications, recording it via central registers or metadata. Business value informs applied processes. Common anti-patterns include unpopulated alternate contacts, missing resource tags, ITSM queues without email mappings, and overlapping ownership. Benefits include straightforward change control and accurate issue troubleshooting. High risk is exposed if not established. Define ownership for risk, change, support, and financial accountability, specifying owners' names, contact info, organization, and team. Use tools like AWS Organizations and tags for AWS resources; document ownership for other platforms. Effort: Low. Leverage account contacts, tags, or documentation. Related: OPS02-BP02, OPS02-BP04. Docs: AWS Account Management, AWS Organizations, Tagging Best Practices."
OPS02-BP02,Processes and procedures have identified owners,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ops_model_def_proc_owners.html,Operational Excellence,Relationships and ownership,High,"To ensure compliance with operational processes, identify ownership of each process, document reasons for their use, and establish ownership clarity. Centralize documentation, frequently update it, and implement scripts as code. Avoid fragmented scripts, unclear ownership, and lack of discoverability. Benefits include operational efficiency, quicker onboarding, incident mitigation, consistency, scalability, and reduced transition risks. High risk exists if not established. Identify operations, document them centrally, assign unique owners, use metadata and tags for ownership, evolve procedures to code, and perform version control. Example: AnyCompany Retail uses AWS tools for process automation and documentation. Document, review, and keep processes up-to-date; assign owners, control versions, share across environments, and establish feedback mechanisms. Ensure accessibility with tags and meaningful messaging. Automate where possible, educate on processes, and measure success. Medium effort for implementation. Related practices: resource ownership, responsibility management, knowledge management. Related documents, workshops, videos, and services."
OPS02-BP03,Operations activities have identified owners responsible for their performance,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ops_model_def_activity_owners.html,Operational Excellence,Relationships and ownership,High,"**Compliance Control for Responsibility Definition****Objective:** Ensure clear definition and documentation of responsibility for specific activities on defined workloads.**Key Actions:**1. **Document Responsibilities**: Identify and document who is responsible for activities, processes, and procedures.2. **Ownership Verification**: Confirm each process has an owner, and verify documentation is up-to-date.3. **Version Control**: Place all processes under version control.4. **Feedback Mechanisms**: Establish policies for review, approval, and feedback on processes.5. **Accessibility**: Use tags and documentation management for discoverability.6. **Automation**: Where feasible, automate processes using APIs.**Risk Level:** High if not established.**Related Practices:** OPS02-BP01, OPS02-BP02, OPS02-BP04, OPS02-BP05, OPS11-BP04.**Example:** AnyCompany Retail tags processes for discoverability and converts them to automations.**Resources:** AWS whitepapers, blogs, workshops, and videos on DevOps, tagging, and automation."
OPS02-BP04,Mechanisms exist to manage responsibilities and ownership,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ops_model_def_responsibilities_ownership.html,Operational Excellence,Relationships and ownership,High,"**Compliance Control for Role Clarity and Responsibility Assignment**Ensure team members understand their responsibilities and how they contribute to business outcomes. Establish clear ownership for tasks, define escalation paths for unclear responsibilities, and document these in accessible formats like wikis or responsibility matrices. Align roles with responsibilities, goals, and the organization's objectives. Regularly update responsibilities to match team tasks and ensure escalation paths are clear and owned. Benefits include reduced confusion, better workload management, and clear contact points for organizational needs. Failure to establish this practice risks high levels of confusion and inaction.**Implementation Steps:**1. Review existing documentation (RACI matrices, team wikis).2. Host discussions to identify misalignments.3. Analyze discrepancies and define improvement opportunities.4. Assign responsibility for managing role clarity.5. Create a clear process for responsibility clarification and escalation.6. Document and review processes, ensuring metrics and feedback mechanisms are in place.**Related Best Practices and Resources:**- OPS01-BP06, OPS03-BP02, OPS03-BP03, OPS03-BP07, OPS09-BP01, OPS09-BP03, OPS11-BP01- AWS whitepapers, blogs, and videos on DevOps, cloud adoption, and operating models."
